id,label,PC1,PC2
SP065,1,-0.2755499904162097,0.25386482592618687
SP066,1,-0.07112185599340212,-0.013437897408241693
SP067,1,-0.12773551392415486,0.08121689538900592
SP068,1,-0.2390181441905244,0.20271674854610447
SP069,1,-0.28623148903207074,0.2535572780168832
SP070,1,-0.09442349712131921,0.020745337808036023
SP071,1,-0.3078381843756768,0.31108744900144186
SP072,1,-0.022928793168869664,-0.06229623736711381
SP073,1,-0.420758063034818,0.4286586967819925
SP074,1,-0.28827859004788237,0.2982648812278256
SP075,1,-0.32941442580550134,0.3488130591192485
SP076,1,-0.29478027595282286,0.30355269751582437
SP077,1,-0.40920565279436616,0.4155590861039039
SP078,1,-0.3913215400678259,0.4078438755639837
SP079,1,-0.22956651595471536,0.22818984757231411
SP080,1,-0.3873191553790982,0.4026206022886842
SP081,1,-0.31413511564978636,0.3259099329731505
SP082,1,-0.22792873885318946,0.2563501780972219
SP083,1,-0.33208891656891043,0.31768016506647323
SP084,1,-0.4043162192967028,0.4015810631062261
SP085,1,-0.38096078685507295,0.3927924538945417
SP086,1,-0.3306577288480563,0.3215534193329088
SP087,1,-0.41775142801164344,0.4266931231759624
SP088,1,-0.33211429617506977,0.3234357396207496
SP089,1,-0.28462985532249097,0.27460009329786217
SP090,1,-0.38396998751798267,0.40354805157892804
SP091,1,-0.3411036381341747,0.3384500750698546
SP092,1,-0.3232317007790091,0.31564399956483985
SP093,1,-0.34392356314108713,0.34976665771890825
SP094,1,-0.32617627769923774,0.29049866476105113
SP095,1,0.01882164993013336,-0.08173172702731672
SP096,1,-0.16937305244122422,0.1456104686613581
SP097,1,-0.026795809674138787,-0.05241819856897985
SP098,1,-0.04033379237381863,-0.03333673505233267
SP099,1,-0.02133274410733367,-0.05946280732435136
SP100,1,0.013618890854242277,-0.05368685451997394
FN001,2,-0.005735393147158201,-0.1175661968399879
FN002,2,-0.0011425405869971957,-0.12393689930187696
FN003,2,-0.006257733361319868,-0.12232439981416607
FN004,2,-0.0070397359435787525,-0.10464892592097116
FN005,2,-0.012193774447313845,-0.11632421257585303
FN006,2,-0.005819901600778476,-0.11146111527016674
FN007,2,-0.008123334271139038,-0.10045251218823438
FN008,2,-0.004008668455438361,-0.10169071472291381
FN009,2,-0.004490579642202943,-0.1326074780330209
FN010,2,-0.00841786258166146,-0.1353215937186425
FN011,2,-0.014494704451601986,-0.11660877573927038
FN012,2,-0.01478026719385322,-0.231179845813757
FN013,2,-0.012818441609559738,-0.14517890148940618
FN014,2,-0.004141535865198549,-0.13397307449512344
FN015,2,-0.012655901016858312,-0.1559678352709989
FN016,2,-0.01095195747945282,-0.11745606248248645
FN017,2,-0.003355312877323153,-0.11660572736495967
FN018,2,-0.008712736344108081,-0.15653942527234246
FN019,2,-0.004630039694037041,-0.13961328896382597
FN020,2,-0.009939406398514322,-0.19935370774980496
FN021,2,-0.014888939821174913,-0.23625518850311508
FN022,2,-0.0048193115893971385,-0.16274111119507406
FN023,2,-0.023724730959992633,-0.12799873634727554
FN024,2,-0.009915614216809344,-0.17418797583463808
FN025,2,-0.017585528579145047,-0.2502072332202859
FN026,2,-0.013457097514102068,-0.1600819541874332
FN027,2,-0.0015611166121011735,-0.18267085510239298
FN028,2,-0.00038139533400739464,-0.16549063863201144
FN029,2,-0.009031567902602228,-0.1356309858692901
FN030,2,-0.004700305865412718,-0.1437702241573663
FN031,2,-0.01556973695671514,-0.2990849176466321
FN032,2,-0.012930814879713863,-0.3207542201341762
FN033,2,-0.017719807358760394,-0.3271161079022668
FN034,2,-0.027138253395519448,-0.14515477721577458
FN035,2,-0.02597212640400645,-0.13138541575601548
FN036,2,-0.014194758936242195,-0.29712073007212203
FN037,2,-0.01246765436982041,-0.157664829169417
FN038,2,-0.014720637676717784,-0.2173559183740716
FN039,2,-0.01576649028061706,-0.3269608590895083
FN040,2,-0.017358795868479972,-0.25025267405011137
FN041,2,-0.007542104122802582,-0.1773238126394537
FN042,2,-0.01807024194980657,-0.21018917759187872
FN043,2,-0.017719062025109256,-0.18985857329281844
FN044,2,-0.006991148492835498,-0.1536001360131438
FN045,2,-0.0076311424439450635,-0.14600254390622716
FN046,2,-0.029402277662077786,-0.12616866144041883
FN047,2,-0.01565208336295498,-0.2105314644325796
FN048,2,-0.016953764153444354,-0.272301086130857
FN049,2,-0.018648013722668888,-0.276935133691203
FN050,2,-0.03704015855281941,-0.2567133388200894
FN051,2,-0.02232368261568461,-0.198705241395129
FN052,2,-0.010401788704950439,-0.12561103480995217
FN053,2,-0.0329032474813272,-0.2160139692383733
FN054,2,-0.04695437756538837,-0.25101636610331507
FN055,2,-0.012446126037147943,-0.23560644916777868
FN056,2,-0.01344686412681931,-0.2616362551430002
FN057,2,-0.014302614419944903,-0.17215942469624318
FN058,2,-0.0072747036619669235,-0.1355397510944024
